phi r1 r2
111.625 2.2415 2.0705
122.075 2.2445 2.2035
120.205 1.8465 2.0215
102.605 2.0045 2.1995
115.255 1.8995 2.2445
119.10499999999999 1.9985 2.0475
94.135 2.1214999999999997 1.9665
109.975 2.0005 1.9285
128.895 1.9264999999999999 1.8895
110.415 2.1155 2.2415
91.055 2.0145 2.1145
90.725 2.0845 1.9595
88.635 1.9224999999999999 2.2664999999999997
96.88499999999999 2.1895 2.0934999999999997
116.685 2.1704999999999997 2.0375
86.985 2.1555 1.9695
110.08500000000001 2.0185 2.0875
102.825 2.0495 2.2464999999999997
115.475 2.1325 2.1985
128.785 1.8545 2.1105
96.225 2.1864999999999997 1.8715
118.225 2.2224999999999997 1.8565
104.805 2.1365 1.9415
98.86500000000001 2.2435 2.0175
129.335 1.8345 1.8815
85.665 1.9145 2.2285
109.425 2.0505 1.8805
108.655 2.0315 2.2325
92.815 1.9335 1.9365
97.875 1.9595 2.1125
122.515 1.9365 1.9525
88.305 2.1795 2.1685
89.955 2.0175 1.8935
131.095 2.2554999999999996 2.0425
127.905 2.1014999999999997 2.0535
98.315 1.8765 2.2275
132.415 1.9925 2.2544999999999997
106.125 1.8595 1.9955
109.535 2.1694999999999998 1.8625
128.565 2.0545 1.9445
86.655 1.9885 2.1214999999999997
103.045 1.9065 2.2725
105.685 2.2525 2.0505
86.875 2.1745 2.0695
84.785 1.9805 1.8685
125.375 1.9355 2.0725
88.085 2.0255 2.1755
96.005 2.1965 2.1944999999999997
118.555 2.1774999999999998 2.1544999999999996
123.725 2.1485 2.0035
127.245 1.9625 1.9945
120.535 1.8955 1.9055
105.905 1.8535 2.1715
95.235 1.8725 1.9455
88.525 2.1185 2.1385
97.545 2.1385 2.1065
117.565 1.9455 1.9845
112.065 2.0735 2.0025
83.905 2.1345 2.2535
91.605 1.8185 2.1534999999999997
117.785 2.2075 2.2195
122.735 2.2104999999999997 2.1864999999999997
111.955 2.2205 1.9495
132.855 2.2394999999999996 2.2515
106.785 1.9205 2.1745
125.485 1.8615 1.9535
89.845 2.2325 1.8855
108.875 2.1094999999999997 2.0524999999999998
126.035 1.8835 2.2695
130.435 2.1975 1.8795
104.91499999999999 1.9405000000000001 2.1225
89.185 1.8715 2.0815
85.555 2.0805 2.0455
116.135 2.0604999999999998 1.8355000000000001
94.465 1.8145 1.9855
98.535 1.8225 2.2055
116.795 2.0575 1.9355
130.54500000000002 1.9835 1.9065
115.035 1.8335000000000001 1.8335000000000001
103.155 2.0595 1.9895
125.815 2.0745 1.8925
108.985 1.9005 1.9075
94.905 1.8295000000000001 2.0905
126.58500000000001 2.0375 2.2255
123.17500000000001 2.0395 2.1345
81.815 1.8495 2.1835
93.255 2.2725 2.2904999999999998
100.735 2.2834999999999996 1.9005
93.365 2.1955 1.9805
132.525 2.0795 2.0195
114.375 2.1174999999999997 2.1115
83.135 2.1985 2.1784999999999997
112.395 2.0905 2.2115
115.805 1.9755 2.1774999999999998
93.145 2.1085 1.8595
80.495 2.2464999999999997 2.1505
101.065 2.0105 1.9515
104.695 1.8785 2.1155
86.215 1.9675 2.2435
107.33500000000001 1.9095 1.8385
97.985 2.0825 2.0735
133.29500000000002 2.2874999999999996 1.8675
94.685 2.0035 2.0075
126.695 1.9485 2.1464999999999996
95.125 1.8865 2.0635
121.305 1.9795 1.8235000000000001
107.225 1.8165 1.9304999999999999
110.965 1.8095 2.1605
114.045 1.9285 2.0225
134.065 1.8675 1.8055
103.925 1.8575 2.2874999999999996
82.255 1.9745 1.8215000000000001
118.995 1.8755 2.2685
113.825 1.9995 1.8415
134.615 2.2794999999999996 2.2104999999999997
114.705 2.2264999999999997 1.8015
111.735 1.9015 2.2954999999999997
116.905 1.8065 1.8945
85.885 1.8315000000000001 2.2714999999999996
108.545 1.8525 1.8145
133.845 1.9415 2.1055
99.63499999999999 2.0335 2.2075
134.39499999999998 2.2365 2.1645
134.945 2.0524999999999998 1.8465
124.935 1.8875 2.1165
98.975 2.2704999999999997 2.1414999999999997
98.425 1.9385 2.0355
121.41499999999999 2.1905 2.0484999999999998
129.445 1.8275000000000001 1.8305
94.795 2.2655 2.0765
81.265 1.8265 2.0604999999999998
123.39500000000001 1.9775 2.0305
133.625 2.1165 2.0865
99.525 2.2714999999999996 2.2634999999999996
125.04499999999999 2.2135 1.8445
101.505 2.0305 2.1305
111.515 1.8135000000000001 2.0395
133.075 1.8395000000000001 2.0885
134.175 2.2184999999999997 1.9224999999999999
131.64499999999998 1.8015 1.9675
134.505 1.9465 1.8755
121.745 1.8365 1.8205
84.345 2.2855 2.2744999999999997
128.45499999999998 2.2744999999999997 1.8315000000000001
86.545 1.8515 2.0275
120.645 1.9175 1.8125
128.675 1.9935 2.1854999999999998
113.60499999999999 1.8425 1.9785
122.845 2.1565 1.8635
127.575 1.9155 1.9395
132.745 1.8045 2.2045
95.895 2.1574999999999998 2.2295
100.295 2.2914999999999996 2.0244999999999997
98.755 1.8255000000000001 2.1365
134.285 2.0295 1.9435
94.355 1.8985 2.2994999999999997
132.085 1.9215 2.1624999999999996
106.565 2.1765 1.9655
127.13499999999999 1.9895 2.2805
105.135 1.9495 1.9045
133.95499999999998 2.1654999999999998 1.8375000000000001
102.715 1.8155000000000001 1.9985
97.105 1.8175000000000001 1.8295000000000001
122.405 2.2685 1.9035
81.045 2.0865 1.9875
92.045 1.8845 2.0084999999999997
126.91499999999999 1.9045 2.0015
119.985 2.1614999999999998 1.8065
88.855 2.1935 2.2815
117.345 2.0945 1.9775
97.655 1.8355000000000001 2.0364999999999998
111.295 1.8035 2.2794999999999996
109.755 1.8305 1.8725
114.265 2.2335 2.2575
118.115 2.2005 1.9135
91.495 1.8585 1.8265
122.625 1.8405 1.8985
86.325 1.8005 1.9735
129.885 2.0515 2.0775
82.585 1.8025 2.1515
122.185 2.1494999999999997 2.1935
122.295 1.8115 1.9545
126.365 2.1005 2.1654999999999998
131.865 1.8565 1.9275
89.515 1.8795 2.2474999999999996
83.685 2.2845 2.1085
101.285 2.2315 1.8035
96.445 2.2895 1.8165
131.315 1.8805 1.8695
119.875 1.8085 2.0135
99.195 1.9115 2.1035
132.635 1.9765 1.9745
81.925 2.1275 2.0345
127.35499999999999 2.0235 1.8775
127.795 2.1475 2.1025
125.155 1.8965 2.1875
114.485 1.8655 1.9175
131.425 2.1055 1.9085
102.935 1.8285 1.8615
132.195 2.2805 1.9685
80.605 1.8855 2.2365
126.805 1.8125 2.0115
113.715 1.9425 1.8105
95.345 2.0324999999999998 2.0825
126.475 1.8825 1.8245
134.725 1.9195 1.9925
112.285 1.9505 1.9215
99.745 1.8925 2.1635
114.925 1.8935 1.8485
129.555 2.2085 2.2914999999999996
80.715 2.2064999999999997 2.0564999999999998
128.125 2.2984999999999998 2.0665
105.025 1.9735 1.8405
133.405 1.9575 2.2135
133.185 2.1585 1.9385
103.815 1.9955 2.2584999999999997
130.10500000000002 1.9655 2.0515
132.305 1.8665 2.0185
133.735 2.1624999999999996 2.1665
