phi1 phi2 r1 r2
162.175 158.725 2.2205 2.1325
139.635 143.54500000000002 2.0685 1.8785
94.785 121.235 1.9125 2.0455
99.38499999999999 96.165 2.0284999999999997 2.0805
109.275 86.045 2.1345 2.0025
136.875 85.58500000000001 1.9845 1.9344999999999999
114.565 89.725 2.0335 2.1544999999999996
87.655 153.89499999999998 1.9325 1.9735
97.775 114.33500000000001 2.1875 1.9755
161.715 151.595 1.8715 2.0204999999999997
157.575 88.575 2.0945 1.8945
83.975 168.845 2.0155 1.9435
113.645 77.995 2.1205 1.8725
146.765 118.475 1.9415 1.8645
135.495 161.255 2.0105 2.2474999999999996
136.185 121.465 2.1325 2.0705
100.07499999999999 99.155 1.9505 2.2275
141.70499999999998 120.08500000000001 1.8675 2.0425
123.535 82.365 1.8755 2.0235
165.16500000000002 80.295 1.9095 1.9385
116.17500000000001 157.345 2.1075 1.9775
89.955 113.645 2.2315 2.2424999999999997
116.405 149.065 1.9105 1.9184999999999999
160.565 74.775 2.2455 1.9665
106.745 94.555 2.0505 1.9115
131.58499999999998 81.215 2.2075 2.2155
114.795 137.33499999999998 2.1635 2.0895
156.885 128.135 2.0125 2.1875
121.005 135.95499999999998 1.8885 1.8355000000000001
162.405 119.625 1.9495 2.1205
80.755 76.615 1.9344999999999999 2.1555
137.79500000000002 133.655 2.2375 2.1395
131.355 76.155 2.0475 2.1675
79.145 141.245 2.1544999999999996 2.2055
150.905 148.375 2.0275 1.9525
167.235 111.805 2.2304999999999997 2.0275
123.765 95.015 2.0145 1.9905
164.015 146.765 2.1784999999999997 2.0105
129.28500000000003 78.225 2.1185 2.0785
100.535 115.485 2.0164999999999997 1.9985
139.865 117.785 2.0115 2.0545
114.10499999999999 113.41499999999999 2.1254999999999997 2.2405
97.08500000000001 156.655 2.1614999999999998 2.1214999999999997
169.305 140.095 2.0575 1.8995
129.055 152.745 2.0355 1.9975
154.815 164.015 1.9655 1.9455
95.015 75.005 2.1915 2.0355
161.02499999999998 107.435 2.1485 1.9325
150.445 171.375 1.8525 1.8365
141.47500000000002 98.005 1.9145 2.2245
93.635 146.535 2.0965 1.8745
93.865 104.905 1.8275000000000001 2.0825
101.91499999999999 133.195 2.0825 1.9685
158.95499999999998 84.205 1.9315 2.0715
76.155 96.625 2.1595 2.1784999999999997
144.46499999999997 82.825 2.0655 1.9485
149.065 106.745 1.8605 2.1265
130.20499999999998 98.465 2.0295 2.1115
120.775 150.905 2.1704999999999997 2.1725
113.875 103.295 1.9705 2.0665
99.155 165.39499999999998 1.9435 2.0505
133.655 165.16500000000002 2.0985 2.0515
133.885 177.58499999999998 2.2045 1.8735
148.60500000000002 174.825 1.9065 2.1285
86.505 75.925 1.8455 2.2675
99.61500000000001 125.605 1.9335 2.2195
167.465 145.385 1.9475 1.8575
152.745 156.425 1.9825 2.1345
134.575 158.95499999999998 1.8935 2.0604999999999998
110.655 86.505 1.9535 1.9865
166.54500000000002 139.865 2.2264999999999997 2.2615
75.695 130.20499999999998 1.8975 2.1635
111.11500000000001 145.845 1.9695 2.2215
145.155 178.27499999999998 2.0555 2.2325
121.235 134.805 2.2035 2.2335
69.485 163.325 2.0675 2.0725
83.055 117.095 2.2595 2.1525
149.755 174.365 2.1605 2.2515
169.075 120.775 2.2754999999999996 2.2115
170.685 152.515 2.2104999999999997 1.9285
127.67500000000001 124.685 2.2165 2.0675
115.715 110.195 2.2805 1.9315
118.475 89.495 2.2095 1.9745
158.725 136.64499999999998 2.1374999999999997 1.8255000000000001
168.155 164.70499999999998 2.1005 2.2224999999999997
122.38499999999999 141.70499999999998 2.0865 1.9205
79.375 109.505 1.9264999999999999 1.9645
158.495 107.66499999999999 2.2784999999999997 2.1334999999999997
86.275 149.52499999999998 2.2664999999999997 1.8455
175.515 176.435 1.9035 1.9565
151.365 169.995 1.8685 1.9445
151.135 98.235 1.8655 1.8275000000000001
120.545 164.935 1.8125 1.9895
132.505 112.955 1.8355000000000001 2.2704999999999997
77.305 127.905 1.8255000000000001 2.0765
91.565 102.605 2.0905 2.0934999999999997
175.285 112.035 2.0175 2.1654999999999998
132.04500000000002 141.015 2.2994999999999997 2.0415
170.91500000000002 172.525 2.1985 1.9875
143.54500000000002 163.555 2.1454999999999997 1.8035
155.04500000000002 91.795 2.1975 2.1825
146.995 101.455 2.2744999999999997 2.2304999999999997
154.125 77.765 1.8305 2.2264999999999997
166.315 72.705 1.9865 2.1574999999999998
118.70500000000001 90.41499999999999 2.2565 2.2794999999999996
100.305 106.515 2.2815 1.8515
103.525 150.675 1.8595 1.8605
128.365 106.975 2.2155 2.2184999999999997
69.945 82.13499999999999 2.0805 2.0835
153.435 149.755 1.8785 2.2954999999999997
94.325 72.935 2.2634999999999996 1.9695
73.625 175.745 2.1014999999999997 1.8615
96.855 95.935 2.1525 2.2834999999999996
140.095 134.575 1.8735 1.8835
172.985 87.195 1.9855 2.2664999999999997
112.955 170.22500000000002 2.2794999999999996 2.0595
86.735 142.395 2.0315 2.0195
167.695 134.345 1.8635 1.8545
121.695 177.815 1.9355 2.0185
169.765 163.785 1.8795 2.0875
65.805 130.435 2.1195 2.2925
177.58499999999998 144.005 2.2575 2.1605
137.565 179.655 2.2085 2.0065
98.465 99.38499999999999 2.1094999999999997 1.9655
96.39500000000001 69.945 2.2335 2.2075
173.21499999999997 165.85500000000002 1.8615 1.8585
84.205 85.355 2.2464999999999997 1.8165
66.035 143.085 1.8365 1.8375000000000001
101.685 66.955 1.9985 2.0015
112.725 80.525 2.2944999999999998 2.1955
117.785 66.495 2.1864999999999997 1.9635
92.025 87.655 2.2725 2.1414999999999997
110.885 131.815 1.8385 2.1995
178.965 75.235 2.2775 2.0055
172.525 124.91499999999999 2.1165 2.1665
147.685 122.61500000000001 2.2954999999999997 2.0635
140.325 108.125 2.1895 2.1235
94.555 91.105 2.2515 2.2554999999999996
70.865 100.995 2.2485 1.8975
133.425 157.575 2.2024999999999997 2.2824999999999998
178.505 105.13499999999999 2.1145 2.2565
170.22500000000002 171.60500000000002 1.9625 1.8085
115.025 161.945 2.1825 2.0395
161.945 137.10500000000002 2.0324999999999998 2.2864999999999998
176.20499999999998 167.925 2.1814999999999998 2.1245
111.805 160.79500000000002 1.8105 2.1614999999999998
149.52499999999998 116.86500000000001 1.8215000000000001 1.9245
177.35500000000002 85.815 2.1445 2.2005
68.105 105.82499999999999 2.0025 1.8025
