d2 r1 r2
0.2427 1.9035 2.1825
0.1983 2.0164999999999997 2.0324999999999998
0.1923 2.1905 2.1365
0.2655 2.2725 2.2075
0.2271 1.8405 1.8435
0.0693 1.9625 1.8895
0.0393 2.0685 2.2695
0.0951 2.1294999999999997 1.8295000000000001
0.1161 2.0075 2.0845
0.0657 1.8575 2.0364999999999998
0.2703 1.9224999999999999 1.9855
0.026099999999999998 2.1245 2.1525
0.1989 2.1254999999999997 1.9075
0.051300000000000005 1.9105 2.2315
0.14909999999999998 2.1365 2.0815
0.12329999999999999 2.0675 2.1085
0.21089999999999998 1.8605 1.9304999999999999
0.0765 2.0204999999999997 2.0244999999999997
0.0219 1.9445 2.1105
0.20669999999999997 1.9865 2.0345
0.1185 2.1975 1.9935
0.06269999999999999 2.1745 1.8965
0.18389999999999998 2.2184999999999997 2.0505
0.2517 2.2295 2.1915
0.2721 1.9415 2.0685
0.2385 2.0215 2.2375
0.12689999999999999 1.9605 1.8505
0.12209999999999999 2.1515 1.8395000000000001
0.1653 2.0284999999999997 2.0015
0.1533 2.2655 2.1854999999999998
0.26489999999999997 1.8915 2.2155
0.041100000000000005 2.0615 2.0735
0.22769999999999999 1.8645 2.1475
0.2823 2.0585 2.1774999999999998
0.1617 2.2285 1.9885
0.13169999999999998 2.2365 1.8955
0.24989999999999998 2.1305 2.2384999999999997
0.2733 1.9875 1.8975
0.1083 1.8725 2.2605
0.0747 2.0725 2.1685
0.1467 1.9255 1.9745
0.2403 2.1454999999999997 2.1435
0.26189999999999997 2.0655 1.9895
0.1641 1.9515 2.2685
0.1605 2.0355 2.2655
0.17609999999999998 1.8485 1.8255000000000001
0.0861 2.2464999999999997 1.8765
0.0501 2.0385 1.9295
0.1509 2.2224999999999997 1.9355
0.0957 2.1085 1.9795
0.0381 2.0145 1.9775
0.2631 1.9885 2.0084999999999997
0.2601 2.0825 2.2645
0.22949999999999998 2.0015 2.1895
0.07529999999999999 2.1405 1.9595
0.10469999999999999 1.9905 2.2005
0.1971 2.0505 1.9125
0.22169999999999998 2.1265 1.9635
0.1143 1.8925 2.0715
0.08729999999999999 1.9525 2.1014999999999997
0.18689999999999998 2.2375 1.8855
0.1395 2.1685 2.1835
0.2781 1.9425 2.2435
0.1455 2.1205 1.9805
0.17129999999999998 1.9685 2.1574999999999998
0.11249999999999999 2.0604999999999998 1.9435
0.0945 1.8525 1.8745
0.0321 1.8775 1.9985
0.062099999999999995 2.2095 2.1245
0.08669999999999999 2.1315 2.2735
0.24449999999999997 2.1915 1.8485
0.011099999999999999 1.8895 1.9315
0.2583 1.9705 2.1075
0.1593 2.1875 2.1305
0.20789999999999997 2.2215 1.9915
0.1383 2.0375 2.0385
0.0987 2.1694999999999998 2.1214999999999997
0.12449999999999999 2.0025 1.8885
0.12569999999999998 1.8995 2.2255
0.1665 2.0775 2.1925
0.2043 2.2824999999999998 2.0435
0.1827 1.8805 1.9465
0.0387 1.9405000000000001 2.0215
0.1797 1.9545 2.2144999999999997
0.28709999999999997 2.2794999999999996 1.8665
0.0993 2.0795 2.0495
0.24330000000000002 1.9145 2.0484999999999998
0.1683 1.9645 1.8795
0.0243 1.9485 1.8935
0.1887 2.2834999999999996 2.2045
0.1437 2.1105 2.2335
0.1059 2.2235 2.0725
0.2349 2.2144999999999997 2.1425
0.2571 2.0635 2.1414999999999997
0.0609 1.9765 2.2095
0.09269999999999999 1.9675 1.9085
0.21209999999999998 1.8585 2.2855
0.1215 2.0065 1.8275000000000001
0.2919 2.1885 2.0705
0.0687 2.1585 2.2285
0.1485 1.8665 2.0905
0.026699999999999998 2.2615 2.0475
0.2307 1.8675 2.1944999999999997
0.1575 2.1895 2.0335
0.2319 2.0715 1.9565
0.0699 1.9985 2.1325
0.0555 1.8235000000000001 1.8705
0.2313 2.2315 1.8185
0.0315 2.2965 2.2184999999999997
0.25229999999999997 2.1574999999999998 2.2824999999999998
0.0237 2.2325 1.8835
0.2961 1.8745 1.8735
0.1299 1.8085 1.8685
0.1029 1.9045 1.9375
0.0669 1.8425 2.1145
0.1203 1.8865 2.1235
0.0039 1.8325 1.8575
0.2061 2.1864999999999997 2.1025
0.024900000000000002 2.1565 2.2135
0.1479 2.1925 1.8095
0.20729999999999998 1.9335 2.2584999999999997
0.0561 1.8685 2.2904999999999998
0.19770000000000001 2.0425 2.2834999999999996
0.005699999999999999 1.8065 2.1494999999999997
0.2739 2.2445 2.0444999999999998
0.0099 2.0895 1.8365
0.1587 2.1645 2.2794999999999996
0.07289999999999999 1.9025 1.9875
0.0015 2.0925 2.2615
0.0891 2.0095 2.0745
0.14609999999999998 1.8705 1.9545
0.21389999999999998 1.9575 1.8355000000000001
0.1725 1.8965 2.2445
0.0345 1.8635 2.1405
0.20550000000000002 1.8695 1.8445
0.2973 2.2275 1.8285
0.045899999999999996 1.8015 1.9575
0.0207 1.8885 1.8715
0.0915 1.8095 1.8155000000000001
0.2865 1.8855 2.2744999999999997
0.0327 2.0155 2.2994999999999997
0.10529999999999999 2.0225 2.1445
0.036899999999999995 1.9365 1.8405
0.0093 1.9795 1.8425
0.2193 1.8105 2.2355
0.1545 1.8055 2.1125
0.1941 2.0535 2.2224999999999997
0.24749999999999997 1.9595 2.2235
0.29969999999999997 1.8125 2.1544999999999996
0.2031 1.9945 2.2415
0.1953 1.8205 2.0635
