#Cu crystal, 4 shells                                     Feff 6.01l  potph 4.12
#Abs   Z=29 Rmt= 1.289 Rnm= 1.427 K shell
#Pot 1 Z=29 Rmt= 1.275 Rnm= 1.399
#Gam_ch=1.761E+00 H-L exch
#Mu=-5.493E+00 kf=1.793E+00 Vint=-1.774E+01 Rs_int= 2.023
#S02  1.000   Temp  190.00  Debye temp  315.00            Feff 6.01l ff2chi 2.01
#Curved wave amplitude ratio filter   4.000%
#   file           sig2  cw amp ratio   deg  nlegs  r effective
#feff0001.dat    0.00609    100.00     12.00     2   2.5527
#feff0002.dat    0.00748     22.99      6.00     2   3.6100
#feff0003.dat    0.00685     10.56     48.00     3   3.8290
#feff0004.dat    0.00756      8.67     48.00     3   4.3577
#feff0005.dat    0.00767     55.44     24.00     2   4.4213
#feff0006.dat    0.00772     10.61     48.00     3   4.7633
#feff0007.dat    0.00772     22.03     96.00     3   4.7633
#feff0008.dat    0.00775     18.96     12.00     2   5.1053
#feff0009.dat    0.00775      8.46     12.00     3   5.1053
#feff0010.dat    0.00775     43.81     24.00     3   5.1053
#feff0011.dat    0.00775      8.25     12.00     4   5.1053
#feff0014.dat    0.00775     32.88     12.00     4   5.1053
#  12/  14 paths used
#-------------------------------------------------------------------------------
#     k          chi          mag           phase @#
     0.0000   -2.827938E-01  2.923577E-01 -1.827284E+00
     0.0500   -2.850769E-01  2.937513E-01 -1.814420E+00
     0.1000   -2.873359E-01  2.951268E-01 -1.801081E+00
     0.1500   -2.895623E-01  2.964822E-01 -1.787274E+00
     0.2000   -2.917477E-01  2.978155E-01 -1.773003E+00
     0.2500   -2.945365E-01  2.992147E-01 -1.747861E+00
     0.3000   -2.972747E-01  3.006792E-01 -1.721422E+00
     0.3500   -2.999007E-01  3.021794E-01 -1.693681E+00
     0.4000   -3.023504E-01  3.036866E-01 -1.664639E+00
     0.4500   -3.049070E-01  3.052515E-01 -1.618311E+00
     0.5000   -3.068088E-01  3.068090E-01 -1.569545E+00
     0.5500   -3.078547E-01  3.082786E-01 -1.518351E+00
     0.6000   -3.078452E-01  3.095839E-01 -1.464761E+00
     0.6500   -3.055858E-01  3.103798E-01 -1.394810E+00
     0.7000   -3.013689E-01  3.109461E-01 -1.321960E+00
     0.7500   -2.949238E-01  3.111660E-01 -1.246271E+00
     0.8000   -2.860269E-01  3.109316E-01 -1.167833E+00
     0.8500   -2.729744E-01  3.102925E-01 -1.075299E+00
     0.9000   -2.567151E-01  3.091416E-01 -9.798483E-01
     0.9500   -2.372077E-01  3.073455E-01 -8.816595E-01
     1.0000   -2.145571E-01  3.047889E-01 -7.809478E-01
     1.0500   -1.870465E-01  3.024410E-01 -6.667763E-01
     1.1000   -1.563619E-01  2.991721E-01 -5.499549E-01
     1.1500   -1.231953E-01  2.948860E-01 -4.309922E-01
     1.2000   -8.843226E-02  2.895304E-01 -3.103935E-01
     1.2500   -4.987961E-02  2.847347E-01 -1.760878E-01
     1.3000   -1.108365E-02  2.786405E-01 -3.978809E-02
     1.3500    2.642974E-02  2.711947E-01  9.761162E-02
     1.4000    6.113799E-02  2.624114E-01  2.351463E-01
     1.4500    9.592908E-02  2.540322E-01  3.872308E-01
     1.5000    1.253909E-01  2.441930E-01  5.392485E-01
     1.5500    1.482688E-01  2.330006E-01  6.897511E-01
     1.6000    1.638694E-01  2.206382E-01  8.371030E-01
